Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
11,1013.4,1016.2,1011.1,11.5,14.1,8.7,0,0,1026.4,1027.5,1025.4,3.5,6.6,1.4,68,47,1017.7,1019.1,1016,15,23.2,8.1,47,25,1015,1016.7,1013.3,14.2,18.3,12.3,73,48,1014.9,1017.1,1012.3,17.7,23.3,12.2,59,36,1005.7,1007.5,1003.9,22.5,26.5,20.2,82,57,1001.5,1003.4,999.3,28.2,34.2,26.5,80,55,1004.3,1005.4,1003.3,29.1,33.8,25.5,76,50,1009.6,1011.6,1007.4,27.2,31.5,23.1,75,51,1022.8,1024.5,1021.2,19.5,23.1,17.3,66,47,1025.5,1027,1023.7,10.8,16.2,6.5,74,56,1021.5,1024.6,1018.4,8,14.1,4.7,73,35
12,1023.7,1029.9,1015.1,5.6,8.9,3.9,89,73,1030.5,1032.3,1027.5,1.2,4.7,-1.5,55,26,1018.1,1019.8,1016.1,16,22.8,11.4,43,21,1016.7,1018.4,1015.1,14.7,18.2,12.3,87,59,1012.7,1015.2,1011.2,17.5,22.6,13.8,65,36,1008.1,1009.4,1006.9,23.3,26.9,20.1,71,56,1001.4,1002.8,1000.4,28.9,33.3,26.7,82,61,1005.6,1007.3,1004,29.7,33.9,25.6,77,52,1008.8,1010,1007.9,24.8,26.9,23.2,85,74,1020.5,1022.9,1018.2,18.8,23.9,17.1,66,40,1023.6,1025.4,1022,13.3,17.1,9.4,73,54,1020,1021.6,1017.4,9.1,15.1,3.3,76,51
13,1031.6,1033.5,1029.8,2.5,4.1,1.3,88,76,1032.3,1034,1030.4,-0.7,3.4,-3.8,50,32,1015.3,1019.2,1012.4,12.8,15.5,11.4,77,34,1016.7,1018.2,1014.7,14,18.1,11.2,73,43,1016.2,1017.4,1015.2,16.4,21.2,13,59,39,1007.9,1009,1006.9,22.4,26,20.8,81,63,1003.8,1005,1002.6,29.1,33.7,25.3,84,58,1006,1007.5,1004.5,30,34.1,27.3,77,58,1010.3,1011.8,1009,26.4,30.6,23.8,83,61,1018.5,1020,1016.7,18.8,23.4,13.9,69,43,1022.5,1024.3,1020.2,14.8,21.2,8.3,77,46,1023.5,1028.4,1019.4,9.6,13.2,7.3,73,47
14,1033.2,1035.2,1031,1.5,4.6,-1.1,79,60,1030.3,1031.9,1027.7,0.1,5.8,-4.4,70,24,1021.6,1024,1019.1,10.2,14.7,6.4,65,33,1016.8,1018.6,1015.2,15.5,18.3,13.1,56,37,1017.2,1019.3,1014.1,17.3,23.3,11.3,61,31,1003.5,1007.9,1001,21.9,26.2,20.3,92,80,1005.2,1006.2,1003,30.4,35.4,26.7,73,51,1003.2,1006,1000,28.8,35.1,23.7,79,51,1010.9,1012.4,1009.1,25.5,28,23.9,87,74,1019.9,1021.6,1017.9,20.2,26,14.1,66,35,1021.1,1022.7,1019.3,15.7,21.6,10.3,79,45,1028.2,1029.8,1026,4.8,8.7,2,63,29
15,1033.3,1035.4,1031.8,1.8,2.8,0.5,92,74,1029.8,1031.5,1028.4,2.9,9.2,-1.9,68,25,1018.4,1021.3,1015.4,12,20.8,5.5,54,16,1014.8,1017.6,1011.8,13.2,15.6,11.7,55,49,1014,1016.3,1011.2,19.9,25.7,15.4,63,43,1004.7,1006.4,1002.5,21.1,22.1,20.6,95,89,1003.5,1005.4,1000.8,31.1,35.8,27.3,68,51,1000.3,1003.9,997.6,28.2,33.4,24,78,57,1008,1010.2,1005.9,26.2,30.4,24.4,89,70,1022.1,1023.5,1020.8,20.1,25.8,14.4,73,43,1017.6,1020.3,1015.4,16.1,20.7,12.2,84,67,1026.5,1028.1,1024.3,3.5,10.5,-0.9,75,33
16,1037.1,1039.3,1035.2,2.2,4.5,1,74,55,1030.4,1032.4,1028.8,3.9,10,-1.9,48,28,1017.7,1020.2,1016.3,10.6,14.1,7.6,87,38,1014.1,1015.5,1012.2,13,13.7,12.4,45,87,1010.6,1013.2,1007.2,20.8,27,14.9,64,39,1006.9,1008,1006,22.2,24.2,20.8,93,84,1001.8,1003.4,1000,30.5,36,26.5,71,50,1001.4,1003,1000.1,28.3,32.7,24.6,80,58,1006.8,1007.9,1005.5,25.1,29.9,23.6,93,70,1020.5,1022.3,1017.9,21.2,25.7,16.2,74,38,1018.6,1020.1,1017.2,13.8,16.9,11.8,85,68,1022.9,1025.6,1020.2,8.1,14,1.1,61,36
17,1035.4,1039.5,1031.8,1.5,2.8,0.8,76,63,1033.5,1035.4,1031.1,4.1,9.8,-0.1,72,33,1015.1,1017.7,1012.6,13.2,18,9.2,76,53,1016.5,1018.5,1015.3,15.1,20.6,12.1,72,41,1006.7,1009.4,1003.4,24.2,31.9,17.7,56,29,1005.4,1007.9,1001.5,24.1,25.2,22.6,94,90,1001.9,1003,1000.8,30.8,34.7,26.4,70,41,1002.2,1004,1000.3,30,36.7,26.9,78,49,1007.9,1009.1,1007,26.2,30.9,23.5,87,61,1019.6,1020.7,1018.6,21.6,25.8,17.4,81,64,1020.9,1023.5,1018.9,13.6,16.5,11.8,67,46,1021.6,1024.2,1020.4,9.5,16.1,4.7,74,37
18,1032.6,1035,1029.9,2.2,5.7,-1.2,87,68,1035.3,1036.6,1033.1,3.1,7.1,0.4,72,45,1011.7,1014.2,1009.2,12.2,14.5,10.6,20,73,1017.6,1019.3,1015.6,16.8,22.5,11.5,63,22,1004.3,1008.1,1002.8,21.4,27.7,19,80,43,1005.6,1008.6,1001.6,21.8,25.3,20.6,93,82,1001.9,1003.7,999.8,31.1,35.4,27.3,69,51,1006.1,1008,1003.7,28.6,32.2,25.6,76,61,1009.4,1011,1008.4,26.1,30.6,23.4,86,60,1019.5,1020.9,1017.9,23.4,27.3,20.5,75,50,1025.8,1027.6,1023.5,10.1,14,6.3,61,27,1026.2,1028.2,1024.2,6.7,11.4,2.4,68,34
19,1028,1032.1,1024.5,5,5.4,3.7,64,75,1032.8,1036,1029.9,3.3,9.1,-2,47,30,1019.5,1023,1014,10.4,13.2,8.8,60,59,1016,1017.8,1014.2,15.9,19.5,13.9,66,44,1010.5,1012.3,1008.2,20.6,27.1,15.5,65,20,1007.1,1009,1005.4,25.7,30.2,22.1,86,68,999.9,1002,996.8,29.7,32.6,27.5,70,57,1007.6,1009,1006.2,29.1,33.6,26.3,78,59,1010.4,1011.8,1008.4,27.2,32.1,23.4,79,53,1018,1019.6,1015.9,22.7,27.5,20,86,62,1031.3,1033.5,1027.6,6.2,10,3.4,50,21,1021.6,1026.8,1017.3,9.6,15.4,3.3,64,41
20,1021.9,1024.5,1019.9,5.7,6.4,4.5,25,99,1029.5,1031.5,1027,5.4,11.6,-0.7,67,30,1020.6,1022.6,1017.5,8.2,15.3,2.3,80,45,1013.2,1015.8,1010.4,17.8,21.8,15.4,60,43,1009.8,1011.6,1007.1,23.4,28.7,16.5,52,21,1004,1006.9,1001.1,29.2,33.1,25.5,77,56,1001.4,1003.4,997.6,27.3,30.4,24.2,75,57,1006.8,1008.6,1005,28.9,32.7,25.2,83,66,1008.7,1010.6,1006.2,27.4,33.3,24.1,83,60,1017.2,1018.8,1015.3,22.4,26.2,20,84,63,1029.1,1032,1025.5,6.3,12,1.3,61,28,1019.1,1021.4,1017.9,10.1,12.8,6.6,83,57
21,1025.1,1026.8,1023,3.5,4.7,2.7,83,68,1023.9,1028,1020.1,8.6,14.5,4.1,57,37,1016.4,1019.9,1012.7,13.1,17.7,8.3,67,45,1012.7,1014.6,1010.7,16.5,18,15.6,85,75,1007.8,1009.4,1005.6,25.4,31.4,19.8,42,28,999.6,1001.6,998.6,27.8,30.4,25.7,82,70,1003.9,1005.4,1001.5,29.4,34.2,25.7,68,49,1003.2,1006.5,1000.4,30.4,35.9,26.9,78,54,1007.6,1009,1006.3,26.1,29.6,24.2,88,67,1014,1016.7,1011.1,24.1,28.3,21.4,74,50,1027.7,1029.6,1026.4,8.4,15.1,2.4,66,27,1025.2,1035,1019.2,6.8,10.4,1.8,79,53
22,1027.1,1028.9,1025.7,1,2.7,0.2,81,69,1017.8,1020.5,1015.5,12.6,18.2,8.3,60,40,1012.8,1014,1011.4,11.9,13.4,11.1,73,65,1016.1,1018,1014.6,15.4,17.8,14.2,84,70,1007.1,1008.3,1005.4,25.4,31.6,20.8,64,36,1000.8,1002.2,999.4,24.7,26.9,23.9,94,82,1001.9,1003.8,999.7,30.2,33.6,27.7,73,60,1000.2,1003,998.2,29.8,33.1,27.3,73,52,1006.5,1008,1004.6,27.5,32.1,24.8,86,63,1011.1,1012.7,1009.6,23,25.9,20.8,83,63,1025.3,1028.1,1022.3,11.8,15.4,8.1,76,55,1037.7,1040.4,1035,-2.4,1.8,-5.1,54,35
23,1030.4,1033.9,1028.7,1.1,2.3,0.2,74,62,1026.4,1032.1,1018.4,5.2,14.5,2.5,70,46,1015.4,1017.9,1013.8,12.8,18.2,9.7,46,23,1019.4,1021.7,1018,14.5,19.4,12,77,36,1006.5,1008.5,1003.5,25.5,32.6,21.7,71,34,999.1,1001.5,997.2,25,27.8,23.5,93,82,1000.9,1002.4,999.1,32.1,37.4,28.1,67,41,1004.9,1007.5,1002.8,25.6,30.1,22.6,82,52,1009,1011.9,1007.1,27.9,31.2,25.3,82,63,1014.4,1020.6,1011,19.4,21.8,16.4,87,73,1022.5,1024.5,1019.9,12,13.4,11.3,95,83,1032.3,1036.6,1027.8,-0.6,3.5,-5.2,41,19
24,1035.2,1037.4,1033.4,0.1,2.8,-2,53,41,1030.8,1033.3,1026.7,4.3,7.5,1.5,54,44,1017,1019.1,1014,13.6,20.1,7,59,16,1020.5,1022.9,1016.8,14.3,19.3,7.1,55,22,1004.3,1005.9,1002.4,23.6,27.5,21.1,79,59,1000.7,1004.7,997.9,24.3,26.6,21.3,86,74,1002.2,1003.6,1000.6,32.5,36.2,29.7,69,48,1008.8,1010.4,1007.5,26.7,30.3,23,74,56,1012,1013.6,1010.4,26.3,28.5,25.1,92,82,1023.6,1025.9,1020.7,16.3,20.6,11.8,62,38,1024.1,1027.6,1021.2,10.6,13.9,8.1,85,62,1024,1027.9,1021,3.7,7.6,0.9,60,28
25,1033.2,1035.3,1030.5,0.7,2.7,-1.2,62,53,1023.5,1028.4,1019.9,4.9,6.2,3.9,61,57,1015.4,1017,1013.3,11.6,15.7,8.4,52,27,1013.4,1018.4,1007.2,18.1,25.4,11.5,47,24,1005.9,1007.4,1004.3,24.7,30.2,19.6,73,50,1006.2,1007.6,1004.6,21.3,23.8,20.3,89,72,1004,1005.4,1002.3,30.1,33.7,27.1,72,47,1007.5,1009.6,1006.1,23.8,26.3,22.6,91,72,1010.3,1012,1008.8,26.3,31.7,25,89,66,1021.5,1024.8,1018.7,17.3,19.2,15.8,73,60,1027.5,1028.9,1026.3,9.3,14.5,5.9,82,42,1027.6,1031.9,1023.4,3,8.4,-0.6,69,41
26,1031.8,1033.1,1030.4,0.6,1.2,-0.1,22,71,1026.3,1029.1,1021.6,2.9,6.2,0.5,35,59,1012.7,1016.8,1007.2,13.3,20.5,7.9,45,19,1015.2,1017.9,1009.5,18.4,24.3,11.5,38,18,1007.6,1009,1005.4,24.8,30.7,20.7,70,43,1006.8,1007.9,1005.5,22.8,25.7,20,85,71,1005.3,1007.1,1003.9,30.1,35.1,26.9,71,48,1008.9,1010.2,1007.9,26,30,22.3,78,55,1016.4,1020.5,1012,21.1,25,19.9,77,57,1020.9,1022.8,1019.6,15.9,18.6,14,78,64,1026,1028.5,1023.3,8.1,12.4,4.2,86,56,1030.2,1032.3,1027.4,2.9,7.1,-2.5,72,51
27,1029.9,1032.8,1025.9,0.4,2.2,-0.2,0,86,1030.4,1033.1,1028.2,4.2,10.4,-0.8,63,24,1011.8,1016.2,1007.7,14.4,19.3,9.5,54,27,1011.1,1015.4,1007.5,21,27.9,14.5,44,32,1002.6,1006.3,998.3,25.4,31.8,21.7,80,57,1004.4,1007.3,1001.2,21.1,23,19.1,93,82,1006.5,1008,1005.2,30.2,34.6,26.5,68,44,1010.3,1011.4,1009.3,25.9,29.8,21.8,72,49,1019.7,1021.2,1017.7,19.8,24,16.2,69,50,1022.5,1024.9,1021.3,16.9,22.4,13.8,71,30,1024.9,1027.7,1022.4,7.7,10.3,4.7,56,30,1023.7,1027.7,1021,8.4,10.6,5.4,81,65
28,1023,1027,1019.8,0.3,1,-0.1,0,0,1023.6,1028.5,1017.8,6.8,12.4,0.6,56,22,1016.7,1018.8,1014.4,12.7,16.8,9.9,64,37,1013.3,1016.1,1009.1,17,23.1,13.8,75,51,998.4,1001.8,996.4,23.2,26.6,20.6,92,81,1001.6,1005.1,998.7,21.4,22.7,20.3,90,78,1006.1,1007.4,1004.4,30.6,34.6,27.8,69,49,1010.4,1011.5,1008.8,26.4,30.1,23.2,69,45,1017.5,1019.5,1015.7,20.6,24.6,17.1,68,50,1019.4,1022.8,1015.9,17.5,21.6,12.3,62,32,1026.5,1028.4,1024,4.6,9.7,1,58,29,1019.8,1022.7,1017.4,9.7,11,8.7,95,88
29,1022.8,1025.4,1020.2,-0.4,1.4,-1,43,77,1015.4,1018.4,1012.8,10.1,16.7,6.2,47,20,1014.5,1016.7,1011.4,12.4,14.4,10.8,20,64,1013.4,1015.2,1011,20,28.3,13.5,68,38,1003.3,1005.5,1001.7,21.3,25.4,18.6,84,61,1006.8,1008.3,1005,23.9,28.5,19,78,59,1003.5,1005.8,1001.3,27.7,30.5,25.1,79,70,1010.3,1011.7,1008.9,23.7,25.8,21.3,84,70,1015.1,1017.4,1013.2,20.8,25,18.2,67,51,1016.4,1018.6,1014.5,17.5,19.2,16.2,79,57,1026.1,1028.8,1024.5,7.5,13.2,2,59,35,1023.9,1027.9,1020.3,6.7,8.7,5.7,92,80
30,1028.1,1030.8,1024.8,-1.4,1.3,-2.3,90,69,,,,,,,,,1017.4,1021.1,1014,9.5,11.4,7.5,65,75,1010.3,1012.8,1007.3,21.3,25.5,18.1,70,54,1008,1010.6,1005.5,20.8,24.5,18.6,66,31,1007.3,1009,1005.7,24.8,26.9,22.4,88,78,1002.4,1003.9,1000.9,27.9,30.4,25.2,82,69,1008.4,1010.6,1006.2,25.4,27.7,22.3,78,73,1013.8,1015.8,1012.3,20.7,24.1,19.1,68,52,1020.2,1022.8,1018.1,17.2,19.4,14.9,89,76,1028.3,1030,1026.2,7.7,14.2,1.5,67,23,1029.5,1031.1,1027.9,4.1,7,2.5,67,39
31,1031.3,1033.4,1029.2,-1.5,2.4,-4,65,45,,,,,,,,,1021.8,1023.5,1020.4,9.6,13.6,6.3,69,35,,,,,,,,,1010.4,1012,1007.7,21.5,28.1,13.5,42,20,,,,,,,,,1005.5,1006.9,1003.9,27.8,29,26.9,83,76,1006.3,1007.9,1004.8,24,25.9,22.8,85,77,,,,,,,,,1019.7,1021.2,1018.3,17.1,18.8,16,92,84,,,,,,,,,1031.4,1033,1030.4,0.9,4.3,-1.1,63,38
