Date,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH,Aver pres,High pres,Low pres,Aver temp,High temp,Low temp,Aver RH,Min RH
11,1028.4,1029.9,1026.4,5.8,11.7,0.6,77,56,1023.9,1026,1021.2,5.7,12.1,0.6,68,29,1027.2,1029.9,1024.7,5.4,9,1.4,52,31,1018.1,1019.6,1016.2,17,23,11.6,61,34,1013,1016.5,1009.5,21.6,28.4,16.2,60,42,1008.7,1009.9,1007.2,23,26.4,21.2,64,49,1000.1,1001.7,999.2,28.6,33.5,24.8,77,50,995.8,1001.6,992.2,28.1,30.8,25.6,78,64,1012.2,1013.2,1011.1,25.3,30.4,21.5,68,33,1019.9,1021.7,1018.5,19,23.7,15.3,73,46,1025.1,1026.4,1023.3,11.5,16.4,7.6,64,41,1019,1021,1017.3,9.2,11.1,7.4,89,75
12,1029.9,1031.9,1028.4,5.9,8.1,4.1,78,70,1018.2,1022.4,1014.3,10.5,17.7,5.2,63,40,1023.7,1027.3,1019.3,7.9,12.6,2.7,52,30,1014.2,1018.4,1009.3,18.4,25.4,12.7,48,17,1012.9,1015.9,1009.9,20.6,22.3,19,74,53,1007,1008.8,1005.1,23,26.1,21.2,74,57,1001.9,1002.7,1000.7,27.1,30.1,25.1,84,70,994.1,996.2,992.3,27.8,32.1,25.9,81,62,1011.6,1013,1009.8,24.7,30,19.9,73,34,1022.9,1024.6,1021.7,19.1,22.3,15.9,80,60,1023,1024.9,1020.4,12.4,17.1,7.7,67,40,1016,1017.9,1014.4,9,10.5,7.4,73,88
13,1031.3,1033.3,1029.9,2.7,6.1,1.1,70,48,1011.4,1015.7,1007.5,14.4,20.9,11.2,70,51,1019.7,1021.8,1017.7,10.8,15.2,7.1,69,49,1013.2,1016.4,1009.9,16.7,20,13.7,68,52,1015.3,1017.4,1011.5,21.7,27.3,15.9,53,17,1005,1007.1,1003.6,20.8,22.4,20.1,89,82,1000.5,1003.4,998.2,25.9,28,24.5,89,82,997.2,999.1,995.9,26.9,30.4,24.9,75,59,1010.4,1011.8,1007.9,24.7,29.3,21,78,49,1024.1,1025.3,1022.9,18.5,20.9,17,72,50,1020.4,1021.7,1019,15.4,19.1,13.2,61,41,1020.5,1022.7,1017.7,5.4,8.1,3.4,75,50
14,1030.7,1032.8,1028.2,3,6.9,-1.4,74,54,1021.9,1027.6,1012.5,7.1,11.9,3,62,45,1014.9,1019.3,1011.3,10.5,11.2,8.9,85,70,1013,1017.2,1009.1,15.4,20.7,11.7,67,37,1011.4,1012.6,1010.1,23.3,29.5,16.7,52,31,1004.6,1005.4,1003.6,20,21,19.7,89,75,999.6,1000.8,998.1,25.4,27.3,23.8,83,73,1002.1,1003.7,999.1,27.2,31.1,23.4,67,45,1007.3,1009.8,1005.2,24.4,28.4,21.7,84,64,1024,1025.6,1022.8,18.2,22.1,16.5,71,43,1020.3,1021.5,1019,16.6,21.1,13,70,50,1021.2,1022.7,1019.6,4.3,8.9,1.5,87,57
15,1025.8,1028.5,1023.5,5.4,6,4.3,89,75,1024.3,1028.2,1019.1,5.4,10.8,-0.8,61,38,1013.8,1017.3,1009.3,10.1,11.4,9.1,83,74,1007.6,1010,1005.4,17.2,21.7,14.9,79,59,1010,1012.1,1006.2,23.9,29.9,19.8,57,31,1006.9,1008.1,1005.4,21.8,26.5,18.9,78,57,998.9,1000.9,997.5,27.8,31.7,24.8,73,58,1004.3,1006.1,1003,28.1,31.7,25.6,74,60,1006.8,1008.1,1005.8,23.5,28,22.7,88,66,1024.5,1026,1023.2,17.4,21.9,14.5,63,28,1023.1,1024.9,1021.2,16.4,19.4,13.4,85,67,1023.3,1026.4,1020.3,5.2,11.4,0.2,59,40
16,1025.4,1027.2,1023.9,4.1,5.5,2.6,89,87,1015,1020.2,1011.9,8.8,10.4,6.8,89,65,1020.8,1024.5,1016.2,8.1,9.7,6.5,76,63,1011.8,1015.6,1009.3,13.3,16.8,11.5,64,33,1003.3,1008,1000,23,28.1,19.5,59,30,1008.8,1009.6,1007.9,21.7,24.5,19.9,80,69,1002.1,1003.7,1000.5,27.7,31.4,23.9,71,54,1007.7,1009.3,1006.1,30.3,34.4,27.4,67,46,1007.6,1008.7,1006.8,24.4,29.1,21.5,77,42,1024.2,1025.6,1022.4,17,22.3,12.8,66,33,1024.3,1026.4,1022.6,13.2,16.5,12.3,70,83,1025.4,1027.2,1023,7.4,10.6,3.4,83,60
17,1027.4,1029,1026.1,5.1,7.5,3.1,83,68,1012.4,1016.2,1009.3,9.7,10.6,8.8,69,89,1025.8,1028.4,1024.3,8,10.8,5.8,60,45,1016.8,1019.6,1014.6,8.9,12,7.6,82,47,1004,1006.4,1000,26.1,32,19.7,40,19,1009,1010.3,1007.5,22.3,25.8,19,77,61,1001.6,1003.1,999.7,29,35.1,25.4,71,52,1008.8,1009.8,1007,29.8,34.4,26.8,68,46,1010.4,1011.9,1008.8,24.5,29.2,20.8,78,50,1023.3,1024.6,1021.8,16.7,21.8,12.9,68,32,1021,1023.4,1019.2,11.9,13.4,10.9,69,80,1023.2,1024.9,1022,7.7,8.5,7.1,49,96
18,1029.1,1031,1027.9,3.9,7.7,1.1,84,68,1017.6,1019.8,1015.3,8.2,10.4,7.1,84,52,1024,1026.4,1022,7.4,10.3,5.1,65,49,1016.4,1019.1,1014.8,11.7,16.6,6.4,66,41,1004.6,1009.8,1001.6,23.1,28.4,18.7,48,33,1008.4,1009.9,1006.8,23.7,27.6,20.8,77,65,1000.5,1002.3,997.8,32.6,37.3,28.6,65,43,1007.1,1008.9,1004.6,30.4,34.6,27.3,66,45,1007.5,1011.2,1004,22,24.2,20.3,94,83,1021.7,1023.5,1019.8,16.9,21.8,11.5,64,33,1027.7,1031.2,1022.5,10.4,12.3,7.1,68,47,1024.7,1026.7,1023.2,7.1,9.1,5.3,89,65
19,1027.7,1029.9,1025.9,4.6,8.3,3.4,81,38,1020,1021.4,1017.9,7,12.3,3.2,69,21,1023.7,1025.7,1020.9,7.1,9.1,6.4,76,68,1013.9,1016.1,1010.2,16.1,22.7,10.9,57,29,1012,1013.8,1009.8,20.8,27.2,14.9,48,22,1008.7,1009.7,1007.3,25.2,30.2,21.7,73,55,999.5,1001.7,998.6,32.8,35.8,30.9,61,48,1005.6,1006.8,1004.3,29.6,33.8,26.6,71,54,1001.8,1006.1,998.4,25.2,27.9,20.5,93,83,1021.1,1022.7,1020,16.8,21.9,13.6,65,37,1027.8,1031.6,1023.1,8.9,13.7,3.6,70,42,1021.7,1024.2,1019.4,7.9,13.5,3.5,84,47
20,1027.5,1029,1026,6.1,7.8,4.1,83,70,1019.4,1020.8,1018.3,8.1,12.8,3.9,78,46,1025.8,1027.7,1023.5,8.3,14,3,71,35,1009,1011,1006.8,21.4,29.1,14.4,53,33,1009.1,1012,1005.6,22.8,29,17.6,53,27,1007.3,1009.6,1005,25.7,28.8,23.5,74,67,1001.8,1003,1000,29.9,34.4,26.8,77,62,1004.3,1006.3,1002.4,29.6,33.6,26.8,69,52,1007.5,1014,1001.4,23,25,21.6,88,76,1023.4,1025.2,1022.3,15.3,21,10.5,67,25,1026.7,1028.5,1024.9,10.2,15.3,5.6,67,30,1021.1,1023,1019.8,9.4,14.4,5.3,66,72
21,1028.1,1029.3,1026,6.6,10.2,4.8,77,58,1020.8,1022.9,1018.2,8.8,14,3.8,78,37,1023.3,1025.2,1020.9,11,16.7,5.9,68,43,1008.1,1009.7,1005.5,22.5,28,17.1,63,46,1006.3,1007.8,1004.7,24.3,30.6,19.5,58,36,1004.9,1006.8,1003,26.8,29.6,25.1,79,64,1003.2,1005,1001.6,29.8,33.9,26.6,76,63,1002.9,1004.5,1001.1,30.4,34.3,27.7,67,52,1015.6,1017,1014,22.4,26.2,20.6,87,69,1021.1,1023.8,1018,16.6,22.1,10.8,63,31,1028.3,1030.5,1026.7,10.9,17.2,5.2,46,23,1018.6,1021,1015.9,12.2,13,11.5,23,83
22,1029.7,1031.3,1028.4,5.1,9.4,2.1,77,57,1015.1,1018.7,1012.9,10.3,15,7.8,79,57,1022.2,1024.3,1019.7,13.4,20.5,8.5,74,44,1008.7,1013.3,1006.7,16.1,24.9,11,81,57,1005.3,1006.7,1003,24.3,28.8,20.7,65,50,1005.9,1007.4,1004.5,26.2,29.8,24.3,76,62,1005.6,1007.2,1003,27.7,32.7,23.1,79,64,1003.6,1005,1002.5,30.3,34.9,27.4,69,48,1015,1016.3,1013.9,22.2,24.5,21.7,70,82,1017.9,1019,1016.5,18.7,22.7,15,66,49,1028,1029.8,1025.7,11.6,17.9,5.9,51,44,1019.1,1022.4,1017.6,11.3,12.2,10.8,25,98
23,1028.9,1030.3,1027.3,5.4,6.8,4.7,85,72,1019.7,1023.1,1015.7,9.6,13.4,6.9,73,46,1015.7,1021.3,1009.6,17.1,22,13.3,66,50,1015.1,1017,1013.4,13.6,17.9,9.3,66,48,1001.7,1004.4,999.1,25.8,29.8,22.5,70,57,1004.1,1006.9,1001.1,27.9,33.6,24.2,78,58,1006,1007.6,1004.5,28.7,34.8,24.6,73,50,1006.3,1008.6,1004.3,30.1,33.7,27.7,73,57,1012.8,1014.3,1011.8,23.9,26.2,22,25,92,1021,1022.7,1018.9,18.8,23.6,15,59,55,1023.8,1026.7,1021.6,14.9,19.8,9.6,63,43,1024.5,1026.5,1022.4,9.3,11.3,7.4,65,67
24,1030.5,1032.5,1028.9,4.1,7.9,2.1,73,36,1020,1024,1015.5,9.3,12.5,6.5,67,51,1008.8,1010.8,1007.3,15.8,18.5,14.9,83,67,1014.2,1016.6,1012.4,14.3,17.9,12.3,74,50,998.7,1001,997.3,24.4,28.8,21.5,82,71,1003,1004.7,1000.2,28.7,33,24.7,74,48,1007,1008.4,1005.5,30.8,36.1,26.2,72,47,1010.2,1011.8,1008.6,30.3,34.5,27,65,47,1013.1,1014.5,1012.1,26.2,30.7,23.5,40,67,1021,1023.2,1018.5,20.1,25.4,13.9,77,48,1024.9,1026.5,1023.7,13.5,19.1,8.2,50,44,1024.5,1026.4,1022.4,8.8,11.4,6.8,81,60
25,1027.7,1030.6,1023.5,4.1,9.5,-0.8,74,37,1019.6,1022.4,1016.8,8.9,12,7.6,80,60,1012.4,1014.2,1010.8,15.3,21.9,9.7,75,33,1015.8,1017.2,1014.2,18.4,23.7,13,56,26,1004,1006,1001,24.9,29.7,20.6,68,45,1001.8,1003,1000,30.3,34,27.4,66,43,1007,1008.2,1004.8,33,37.8,28.7,60,37,1012,1013.3,1010.2,30.3,34,26.6,67,56,1014.5,1016.1,1013.7,26.1,30.2,24.3,63,63,1018.9,1020.3,1017.8,19,23.5,16.9,88,72,1024.1,1026,1022.3,15.1,20.1,9.8,55,48,1024.1,1025.4,1023.3,9.3,9.7,8.4,94,83
26,1026.8,1029.2,1024.5,5.2,7.6,3.7,56,31,1022.2,1023.7,1021,9.3,14.7,3.7,80,57,1012.7,1014.7,1009.4,15.3,21.4,12.5,62,32,1018.1,1019.9,1016.8,20.7,26.3,15.6,43,24,1006.6,1007.9,1005.4,26.5,31.1,23.7,50,22,1002.4,1003.8,1001,29.4,33,27.2,64,49,1007.4,1010.3,1005.7,31.4,37.7,27.6,67,39,1011.5,1013,1009.4,29.2,31.5,26.1,70,58,1013.7,1015,1011.7,26.1,30.3,22.7,81,59,1020,1021.8,1018.3,16.4,21.1,13.6,65,65,1023.8,1025.8,1022.5,13.1,16.6,10.7,64,69,1026,1027.8,1024.1,8.8,13.8,5.4,41,64
27,1028.4,1029.8,1026.4,4.5,9.5,-1.1,54,30,1022.8,1024.2,1021.2,10.3,13.7,7.4,84,70,1012.7,1015,1009.4,16.1,21.6,11.7,73,46,1019.7,1021.9,1017.8,19.2,23.2,17.1,45,23,1004.9,1006.7,1003,25.3,31.5,22,62,39,1001.4,1003.7,999.2,31.1,36.4,26.9,66,44,1008.1,1009.7,1006.6,32.5,37.6,28.6,64,35,1009.3,1011.8,1006.7,30.2,34.3,27,67,49,1011.5,1013.4,1008.8,27.8,32.5,23.7,80,59,1016.5,1019.3,1013.3,17.6,22.5,13.4,30,49,1023.1,1025.9,1020.3,8.7,12.1,6.7,61,25,1021.1,1025.6,1017.8,9.1,11.2,6.7,50,95
28,1030.3,1032.1,1028.6,2.7,6.5,0.3,56,29,1022.8,1025.1,1019.9,12.1,17.4,8.3,73,45,1011.5,1014.9,1007,19.5,26.3,14.3,58,33,1021,1022.7,1019.5,18.8,24.2,13.8,59,34,1007.1,1008.6,1005.2,22.9,25.3,21.6,81,68,1002.5,1004.4,1000.8,29.9,34.1,25.5,70,55,1007.7,1009,1005.9,32.8,38,28.9,61,41,1008,1009.4,1005.8,29.4,33.7,26.8,68,48,1013.3,1016.8,1010.8,26,29.6,22.9,90,77,1015.8,1020.6,1014,18.6,22.9,16.3,75,52,1021.4,1022.6,1020.1,7.1,12.2,3.7,58,35,1019,1020.5,1017,9.5,11,8.7,40,76
29,1026.2,1029.3,1022.1,4.2,11.3,-2.2,53,24,,,,,,,,,1007.1,1011.3,1002.2,19.3,28.9,11.2,66,39,1019.6,1022.1,1017.3,16.9,19.9,14.8,65,40,1008.7,1010.3,1007.2,23.3,27,21.1,75,59,1005.1,1006.8,1003.6,28,30.3,25.6,80,69,1007.6,1008.6,1006,32.8,37.5,28.7,59,38,1007.1,1008.6,1005.6,26.8,29.8,24.3,80,59,1018.4,1020.1,1016.8,22.9,24.5,22,77,67,1023.7,1025.6,1020.5,14.5,16.8,12.5,65,53,1024.3,1027.5,1022.7,8,13.5,3.9,66,46,1020.4,1022.3,1019.3,6.4,8.7,4.2,63,25
30,1026.3,1029.4,1023.4,5.5,10.4,1.6,67,39,,,,,,,,,1010.4,1014,1005.9,17.7,23.3,12.7,60,40,1010.5,1017.9,1005.4,16.7,22.3,12.7,80,56,1010.9,1012.7,1009.1,23.2,27.6,18.9,65,42,1003.9,1005.6,1001.8,30.9,35.5,27.6,68,45,1007.5,1009.2,1005.8,32,36,29,65,45,1006.9,1008.3,1005,27.1,31.2,22.8,68,37,1017.2,1019.6,1014.7,23,26.4,20.6,78,58,1024.7,1026,1023.4,14,16.2,11.5,85,64,1027.7,1029.6,1026,8.8,14,5,76,48,1024.8,1027.6,1021.9,2.3,4.2,0.9,43,25
31,1026.4,1029.3,1023.1,5.5,13,0,62,29,,,,,,,,,1005.9,1009.6,1003,18.2,23.8,15.3,70,40,,,,,,,,,1008.7,1011.1,1005.7,21.6,24.5,19.4,68,50,,,,,,,,,1004.8,1007.2,1001.7,33.4,38.4,28.2,55,33,1005,1007.2,1002.8,27.7,31.4,25.2,75,61,,,,,,,,,1022.5,1024.2,1020.6,16.3,19.1,15.3,90,74,,,,,,,,,1027.6,1029.7,1025.7,1.6,6.2,-1.4,47,23
